Nombre,Edad,Altura,Posicion,Equipo,Liga,ELO,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Valor_Mercado,Goles_por_partido,Asistencias_por_partido,Participacion_goles,Participacion_por_partido,Posición_Club,Aporte_Goles,Aporte_Puntos,RC,IDR,Impacto_Total
Brandon Zamudio,21.0,173.0,Defensas,REAL APODACA,Liga Premier Serie A Grupo A,36.0,5,1,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,1.2,0.044
Mauro Valenzuela,19.0,177.0,Centrocampistas,LEONES NEGROS II,Liga Premier Serie A Grupo A,33.0,8,8,0.0,0.0,1.0,70000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.25,0.053
J. Silva,20.0,169.0,Centrocampistas,LEONES NEGROS II,Liga Premier Serie A Grupo A,32.0,15,9,0.0,0.0,2.0,21000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.13,0.095
Christopher González,19.0,176.0,Centrocampistas,LEONES NEGROS II,Liga Premier Serie A Grupo A,27.0,7,3,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.29,0.047
I. Hernández,21.0,170.0,Centrocampistas,LEONES NEGROS II,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,2.0,0.027
Javier Romero,19.0,172.0,Centrocampistas,LEONES NEGROS II,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,2.0,0.027
Farid Morales,19.0,170.0,Delanteros,LEONES NEGROS II,Liga Premier Serie A Grupo A,28.0,9,4,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.22,0.059
Axel Cruz,25.0,180.0,Defensas,LOS CABOS,Liga Premier Serie A Grupo A,50.0,6,5,0.0,0.0,2.0,257000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,2.17,0.06
José Peralta,20.0,165.0,Defensas,LOS CABOS,Liga Premier Serie A Grupo A,37.0,10,8,0.0,0.0,1.0,55000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.3,0.076
J. Mejia,24.0,187.0,Defensas,LOS CABOS,Liga Premier Serie A Grupo A,26.0,2,0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,6.5,0.08
M. Montelongo,26.0,173.0,Centrocampistas,DURANGO,Liga Premier Serie A Grupo A,53.0,15,14,0.0,0.0,2.0,381000.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.6,0.1
C. Sifuentes,18.0,173.0,Defensas,DURANGO,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,9.0,0.099
Néstor Díaz,23.0,176.0,Defensas,DURANGO,Liga Premier Serie A Grupo A,55.0,8,3,0.0,0.0,1.0,690000.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,1.12,0.062
C. Hinojosa,26.0,187.0,Defensas,DURANGO,Liga Premier Serie A Grupo A,54.0,14,14,0.0,0.0,4.0,346000.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.64,0.094
K. Robles,23.0,177.0,Defensas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,32.0,7,5,0.0,0.0,1.0,11000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-1.43,0.029
D. Nevarez,23.0,174.0,Defensas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,26.0,3,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-3.33,-0.016
E. Ruiz,19.0,182.0,Defensas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,30.0,2,1,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-5.0,-0.039
Miguel González,23.0,177.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,40.0,13,13,0.0,0.0,6.0,38000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.77,0.073
J. Soto,19.0,173.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,36.0,13,11,0.0,0.0,2.0,10000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.77,0.073
Cristian Rivera,23.0,167.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,33.0,13,13,0.0,0.0,5.0,4000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.77,0.073
David Jimenez,22.0,173.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,37.0,9,7,0.0,0.0,1.0,17000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-1.11,0.045
Zaydiel Enriquez,20.0,168.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,26.0,8,2,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-1.25,0.037
Meyvin Torres,20.0,175.0,Centrocampistas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-10.0,-0.097
Cesar May,24.0,168.0,Delanteros,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,35.0,13,7,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.77,0.073
Francisco Guerrero,21.0,175.0,Delanteros,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,33.0,13,12,0.0,0.0,3.0,4000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.77,0.073
Gabriel Martínez,22.0,181.0,Delanteros,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-10.0,-0.097
Ivan Ruiz,20.0,170.0,Defensas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,37.0,6,2,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,3.33,0.072
B. Navarro,23.0,176.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,52.0,12,12,0.0,0.0,4.0,547000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.67,0.092
Jesús Tobie,24.0,170.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,43.0,14,14,0.0,0.0,3.0,160000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.43,0.102
D. Hernández,23.0,164.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,35.0,4,0,0.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,5.0,0.077
T. Encinas,22.0,180.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,26.0,8,1,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.5,0.076
Ernesto Ascencio,21.0,174.0,Centrocampistas,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,28.0,7,0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.86,0.073
J. Anderson,23.0,180.0,Delanteros,CIMARRONES DE SONORA,Liga Premier Serie A Grupo A,26.0,3,0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,6.67,0.088
Sergio Romero,21.0,164.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,32.0,14,14,0.0,0.0,2.0,18000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.93,0.097
Bryan Godínez,23.0,181.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,39.0,5,0,0.0,0.0,1.0,68000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,2.6,0.058
Edson Martínez,24.0,172.0,Centrocampistas,LOS CABOS,Liga Premier Serie A Grupo A,33.0,7,1,0.0,0.0,1.0,29000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,1.86,0.063
Á. Luque,20.0,171.0,Delanteros,MEXICALI FC,Liga Premier Serie A Grupo A,28.0,8,4,0.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-3.62,0.013
J. Rojas,25.0,175.0,Delanteros,MEXICALI FC,Liga Premier Serie A Grupo A,26.0,12,7,0.0,0.0,1.0,1000.0,0.0,0.0,0.0,0.0,12,0.0,,0.0,-2.42,0.05
Franco Buganza,22.0,176.0,Defensas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,32.0,12,11,0.0,0.0,3.0,28000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.25,0.072
Martín Ramírez,23.0,188.0,Defensas,AGRICULTORES GUASAVE,Liga Premier Serie A Grupo A,33.0,11,8,0.0,0.0,2.0,16000.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,-0.91,0.059
A. Velarde,21.0,186.0,Defensas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,29.0,13,13,0.0,0.0,4.0,5000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.23,0.079
Erick Montero,20.0,180.0,Defensas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,35.0,5,3,0.0,0.0,1.0,36000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.6,0.025
Raul Hernandez,20.0,178.0,Defensas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,27.0,4,3,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.75,0.017
L. Macías,21.0,178.0,Defensas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,7,1,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.43,0.039
A. Blanco Martinez,20.0,164.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,44.0,3,2,0.0,0.0,0.0,201000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-1.0,0.008
Hugo Mata,19.0,169.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,9,7,0.0,0.0,3.0,3000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.33,0.053
Carlos Amador,19.0,164.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,11,5,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.27,0.066
Pablo Rivera,19.0,163.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,2,0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-1.5,-0.003
Gael Fernández,20.0,165.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-3.0,-0.025
Rubén Mancilla,20.0,180.0,Centrocampistas,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,1,0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-3.0,-0.025
Alan Sandoval,19.0,168.0,Delanteros,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,30.0,13,10,0.0,0.0,2.0,9000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.23,0.079
Andrew Martinez,20.0,180.0,Delanteros,MINEROS DE FRESNILLO,Liga Premier Serie A Grupo A,26.0,8,1,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,-0.38,0.046
Hernán Flores,23.0,182.0,Defensas,REAL APODACA,Liga Premier Serie A Grupo A,38.0,10,10,0.0,0.0,1.0,53000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.6,0.069
